[main] 2021-07-12 15:21:14 INFO  com.product.main.ProductMain  - 1)By ID
[main] 2021-07-12 15:21:14 INFO  com.product.main.ProductMain  - 2)By Name
[main] 2021-07-12 15:21:14 INFO  com.product.main.ProductMain  - 3)By Rating
[main] 2021-07-12 15:21:14 INFO  com.product.main.ProductMain  - 4)By Cost
[main] 2021-07-12 15:21:14 INFO  com.product.main.ProductMain  - 5)By ManufacturerId
[main] 2021-07-12 15:21:14 INFO  com.product.main.ProductMain  - 6)List All Products
[main] 2021-07-12 15:21:14 INFO  com.product.main.ProductMain  - 7)Main Menu
[main] 2021-07-12 15:21:14 INFO  com.product.main.ProductMain  - Enter your Choice 1-7
[main] 2021-07-12 15:21:23 WARN  com.product.main.ProductMain  - Invalid Choice... Please enter input between 1-7
[main] 2021-07-12 15:21:23 INFO  com.product.main.ProductMain  - 

Search Product Menu.Use Various filters below to search your Product.....
[main] 2021-07-12 15:21:23 INFO  com.product.main.ProductMain  - --------------------------------
[main] 2021-07-12 15:21:23 INFO  com.product.main.ProductMain  - 1)By ID
[main] 2021-07-12 15:21:23 INFO  com.product.main.ProductMain  - 2)By Name
[main] 2021-07-12 15:21:23 INFO  com.product.main.ProductMain  - 3)By Rating
[main] 2021-07-12 15:21:23 INFO  com.product.main.ProductMain  - 4)By Cost
[main] 2021-07-12 15:21:23 INFO  com.product.main.ProductMain  - 5)By ManufacturerId
[main] 2021-07-12 15:21:23 INFO  com.product.main.ProductMain  - 6)List All Products
[main] 2021-07-12 15:21:23 INFO  com.product.main.ProductMain  - 7)Main Menu
[main] 2021-07-12 15:21:23 INFO  com.product.main.ProductMain  - Enter your Choice 1-7
[main] 2021-07-12 15:21:25 WARN  com.product.main.ProductMain  - Invalid Choice... Please enter input between 1-7
[main] 2021-07-12 15:21:25 INFO  com.product.main.ProductMain  - 

Search Product Menu.Use Various filters below to search your Product.....
[main] 2021-07-12 15:21:25 INFO  com.product.main.ProductMain  - --------------------------------
[main] 2021-07-12 15:21:25 INFO  com.product.main.ProductMain  - 1)By ID
[main] 2021-07-12 15:21:25 INFO  com.product.main.ProductMain  - 2)By Name
[main] 2021-07-12 15:21:25 INFO  com.product.main.ProductMain  - 3)By Rating
[main] 2021-07-12 15:21:25 INFO  com.product.main.ProductMain  - 4)By Cost
[main] 2021-07-12 15:21:25 INFO  com.product.main.ProductMain  - 5)By ManufacturerId
[main] 2021-07-12 15:21:25 INFO  com.product.main.ProductMain  - 6)List All Products
[main] 2021-07-12 15:21:25 INFO  com.product.main.ProductMain  - 7)Main Menu
[main] 2021-07-12 15:21:25 INFO  com.product.main.ProductMain  - Enter your Choice 1-7
[main] 2021-07-12 15:21:31 INFO  com.product.main.ProductMain  - 

Going to Main Menu............


[main] 2021-07-12 15:21:31 INFO  com.product.main.ProductMain  - Welcome to ProductApp V1.0
[main] 2021-07-12 15:21:31 INFO  com.product.main.ProductMain  - ==================================
[main] 2021-07-12 15:21:31 INFO  com.product.main.ProductMain  - 
Product Menu
[main] 2021-07-12 15:21:31 INFO  com.product.main.ProductMain  - 1)Create Product
[main] 2021-07-12 15:21:31 INFO  com.product.main.ProductMain  - 2)Update Product
[main] 2021-07-12 15:21:31 INFO  com.product.main.ProductMain  - 3)Delete Product
[main] 2021-07-12 15:21:31 INFO  com.product.main.ProductMain  - 4)Search Product
[main] 2021-07-12 15:21:31 INFO  com.product.main.ProductMain  - 5)EXIT
[main] 2021-07-12 15:21:31 INFO  com.product.main.ProductMain  - Enter your Choice 1-5
[main] 2021-07-12 15:21:36 INFO  com.product.main.ProductMain  - Thanks for using our App.. See you soon. :)
[main] 2021-07-12 15:51:22 INFO  com.product.main.ProductMain  - Welcome to ProductApp V1.0
[main] 2021-07-12 15:51:22 INFO  com.product.main.ProductMain  - ==================================
[main] 2021-07-12 15:51:22 INFO  com.product.main.ProductMain  - 
Product Menu
[main] 2021-07-12 15:51:22 INFO  com.product.main.ProductMain  - 1)Create Product
[main] 2021-07-12 15:51:22 INFO  com.product.main.ProductMain  - 2)Update Product
[main] 2021-07-12 15:51:22 INFO  com.product.main.ProductMain  - 3)Delete Product
[main] 2021-07-12 15:51:22 INFO  com.product.main.ProductMain  - 4)Search Products by Various Filters
[main] 2021-07-12 15:51:22 INFO  com.product.main.ProductMain  - 5)List All Products
[main] 2021-07-12 15:51:22 INFO  com.product.main.ProductMain  - 6)EXIT
[main] 2021-07-12 15:51:22 INFO  com.product.main.ProductMain  - Enter your Choice 1-6
[main] 2021-07-12 15:51:26 INFO  com.product.main.ProductMain  - 

Search Product Menu.Use Various filters below to search your Product.....
[main] 2021-07-12 15:51:26 INFO  com.product.main.ProductMain  - ---------------------------------------------------------------------------------------
